Passenger ID,First Name,Last Name,Gender,Age,Nationality,Airport Name,Airport Country Code,Country Name,Airport Continent,Continents,Departure Date,Arrival Airport,Pilot Name,Flight Status
3017,2119,7105,0,55,45,924,205,208,3,3,212,1126,5845,2
3387,3738,6816,1,58,148,97,216,218,1,1,7,733,3626,0
7245,1378,6949,1,61,84,1660,205,208,3,3,241,1553,9266,1
7688,2619,1090,1,86,154,3270,147,143,0,0,199,2432,4273,1
8137,1261,6005,1,80,2,5863,205,208,3,3,97,1482,6251,0
6186,2423,7020,0,73,150,4715,92,93,1,1,359,3129,2817,1
1751,4783,4360,1,80,148,3703,96,92,1,1,269,3481,9989,2
6690,4430,3256,1,68,37,1691,26,26,5,5,324,0,2608,0
679,1476,2806,0,32,37,6085,145,142,0,0,18,6063,3573,1
4432,2500,7218,0,30,32,1302,175,186,0,0,311,4410,5917,0
8527,2225,1759,0,83,37,4033,26,26,5,5,45,2329,3989,1
1843,2181,4229,1,27,84,4556,61,184,2,2,316,4312,8203,0
7173,1353,719,1,45,84,1870,34,45,0,0,227,1786,8858,1
9883,1092,1031,1,4,147,2030,205,208,3,3,356,1902,914,2
4422,5517,5162,1,90,150,220,10,9,4,4,334,320,7566,1
8398,126,3242,0,71,150,166,127,118,0,0,82,176,874,0
586,236,7712,0,17,37,2165,50,74,2,2,262,1952,9095,1
5106,5155,1142,1,4,147,254,10,9,4,4,307,238,5576,1
3894,3336,3848,0,55,84,6051,198,200,1,1,288,2764,2422,1
1871,4521,3808,1,21,84,4882,157,153,4,4,158,4701,8608,1
5374,3105,727,0,21,150,1574,205,208,3,3,217,1357,6911,0
6353,2924,6131,1,80,147,1539,58,58,1,1,360,1,9114,2
2156,1943,6601,1,68,150,2364,92,93,1,1,249,4001,1492,0
421,4152,6371,1,22,148,4058,205,208,3,3,349,3836,1135,1
6285,3604,4229,0,25,84,5533,26,26,5,5,95,0,3029,1
1392,491,7300,0,23,140,6117,176,188,2,2,356,3721,603,0
9706,2113,3388,1,88,181,2688,105,104,0,0,106,2675,293,2
1714,3645,4334,0,15,37,2455,56,57,5,5,333,2354,624,2
4732,5436,8152,1,46,84,135,205,208,3,3,118,529,3250,2
5231,1068,8685,0,30,84,2985,83,82,3,3,41,2806,6250,2
8765,4139,8662,1,79,181,460,205,208,3,3,339,625,3917,0
631,5487,557,0,86,37,754,44,47,3,3,185,344,1146,2
1159,3757,4767,0,33,150,176,103,102,1,1,190,55,5802,2
9786,4794,2983,1,71,37,1371,205,208,3,3,245,2952,6067,1
4154,3438,7870,0,20,199,0,7,7,5,5,269,4448,6905,2
9107,5149,4192,0,10,84,681,35,36,0,0,242,373,7245,2
8474,3720,2965,0,62,154,417,117,185,1,1,191,935,3228,0
6089,5362,8631,1,32,135,701,205,208,3,3,64,639,4129,1
1056,68,1056,0,65,37,3082,10,9,4,4,333,2819,2201,0
435,3450,8180,0,64,84,1158,7,7,5,5,237,3771,6824,0
7671,4582,7396,1,76,17,3058,42,39,1,1,115,2882,5656,0
4233,3359,6611,1,18,37,323,205,208,3,3,348,2845,9073,2
862,3927,3111,0,72,12,1691,26,26,5,5,130,0,673,1
6436,5341,3848,1,14,7,1611,77,78,2,2,95,4200,735,0
5524,3887,3833,1,45,38,1133,50,74,2,2,191,1038,2101,1
9708,7,1184,1,56,37,4584,205,208,3,3,316,4335,3561,2
8521,1122,580,0,74,125,2340,10,9,4,4,4,2190,2040,0
7930,574,3841,1,31,60,6022,42,39,1,1,288,5799,3057,1
3790,5425,2477,1,82,104,3888,32,35,3,3,151,5987,7361,0
8237,2980,8491,0,40,29,1348,205,208,3,3,11,1276,171,0
3173,1954,2183,1,29,67,3343,10,9,4,4,305,3185,8364,1
2921,3457,2232,0,32,12,1521,157,153,4,4,243,5699,4081,2
6638,1437,981,1,77,92,2215,100,91,2,2,231,1577,2546,2
6605,1621,4050,0,19,37,2900,32,35,3,3,108,5946,2611,0
3440,1112,1386,0,88,150,4295,218,182,0,0,232,78,2360,2
9894,1662,6504,1,60,37,2979,205,208,3,3,154,2591,9434,2
5793,513,3597,1,90,148,1634,10,9,4,4,322,1446,9436,0
406,445,1103,1,32,84,5741,45,49,3,3,226,1113,1591,0
7508,3679,458,0,11,179,4333,26,26,5,5,337,4040,4643,0
2679,675,6439,1,30,131,4945,205,208,3,3,256,4453,3160,2
4781,2965,5243,1,17,137,371,159,149,1,1,175,474,7061,2
7386,3623,7315,0,39,79,5865,205,208,3,3,96,301,5136,2
6596,5038,7360,0,48,84,5870,205,208,3,3,64,5594,2965,0
1461,4298,3775,1,13,37,1981,27,12,3,3,80,1745,4055,1
9437,2753,1237,1,26,109,49,26,26,5,5,22,1089,1986,0
1922,774,1721,1,86,15,2544,159,149,1,1,243,2446,7514,1
7847,1234,6951,1,77,140,2667,96,92,1,1,294,547,1240,1
5503,4422,6177,1,32,45,1106,141,129,3,3,235,826,7683,1
837,4630,8175,1,88,112,134,205,208,3,3,99,481,2999,2
6411,3710,4543,0,84,45,4635,148,141,3,3,320,4316,3897,1
4515,5577,7509,1,4,37,5648,26,26,5,5,316,0,4940,0
9467,3954,3503,1,50,61,3845,205,208,3,3,310,2137,5252,2
8581,443,8458,1,18,84,368,205,208,3,3,237,453,2018,2
723,1277,4849,1,8,84,4573,100,91,2,2,237,3766,9,2
5157,2247,638,0,20,61,3768,205,208,3,3,266,5565,179,2
3802,4624,4204,0,6,190,878,205,208,3,3,314,1131,4920,0
1905,4352,4542,1,55,25,10,99,94,1,1,202,20,6804,2
9131,4668,8457,0,34,135,1269,10,9,4,4,309,1066,8382,0
8127,934,476,0,5,154,5137,27,12,3,3,335,5192,4034,1
5501,4291,8025,1,45,181,1627,52,53,2,2,41,1353,1147,1
6724,1706,2125,1,77,202,5080,205,208,3,3,15,383,7227,0
7489,4491,4013,1,17,84,2614,10,9,4,4,292,2699,4223,0
3510,3497,4116,1,47,32,4151,26,26,5,5,305,4059,5444,0
8532,5278,637,1,88,84,4788,205,208,3,3,180,4739,451,1
2390,5310,6867,0,61,25,300,205,208,3,3,53,243,3571,1
1914,5187,1592,0,18,150,2015,205,208,3,3,144,4029,8924,2
7431,4949,8223,0,41,150,5590,149,138,2,2,54,1437,7516,1
7334,157,6747,0,27,147,1433,32,35,3,3,64,5868,8478,1
528,5163,138,0,33,148,215,68,68,2,2,346,4224,1545,0
7893,2742,8412,0,38,25,4106,205,208,3,3,312,4025,9245,2
8925,761,1945,1,10,84,5331,157,153,4,4,209,5092,8501,1
4183,2335,1567,0,24,175,1444,32,35,3,3,71,1195,3435,2
3529,2381,5212,1,35,191,2949,213,211,4,4,141,2971,6410,2
8232,237,2220,0,10,149,1560,92,93,1,1,119,2631,615,1
7216,854,6653,1,66,32,4772,10,9,4,4,305,3527,7834,1
5969,1633,4082,0,88,37,4455,68,68,2,2,61,5240,5887,1
3949,384,1487,1,32,84,5625,205,208,3,3,338,1326,453,0
3715,1425,803,0,16,45,211,127,118,0,0,105,5483,4983,0
8039,1824,8939,0,65,121,5521,43,42,5,5,232,4909,8460,0
3801,5559,3023,0,58,181,3956,42,39,1,1,86,3079,2563,2
9349,4027,5794,0,48,37,1789,79,84,0,0,84,1561,9717,1
5746,4053,2364,0,16,60,2439,42,39,1,1,294,2398,885,1
9948,2557,4090,1,81,37,1630,99,94,1,1,278,2169,9389,0
3139,3606,5354,1,36,175,677,157,153,4,4,147,597,8169,1
2799,2252,5031,0,59,148,2718,50,74,2,2,303,2494,8906,0
1227,4679,6399,1,51,25,1743,205,208,3,3,200,1661,4000,1
5783,377,1392,0,47,37,5895,32,35,3,3,10,5967,4465,0
8275,4863,6536,1,31,162,4284,68,68,2,2,258,4067,8457,1
901,1890,6892,1,74,148,3409,205,208,3,3,124,1387,6440,2
4104,1955,6813,0,1,191,1311,158,156,1,1,54,4549,1726,0
9377,621,3823,1,75,196,1951,42,39,1,1,186,1822,850,2
68,4014,6064,0,20,37,393,158,156,1,1,152,640,2078,1
8403,5394,4986,1,9,191,3295,157,153,4,4,66,3405,5168,2
5915,1274,8707,0,40,70,4016,157,153,4,4,349,4270,6579,2
6996,4670,2646,1,25,148,1585,157,153,4,4,224,1428,1148,0
1297,4882,7976,1,19,37,4243,31,18,3,3,286,4013,8537,0
7322,3404,6063,0,3,194,5077,205,208,3,3,255,5366,9706,1
5152,5685,813,1,81,150,3096,70,207,2,2,345,2970,7253,2
366,4645,885,1,36,190,4809,26,26,5,5,95,1723,2704,0
6752,2600,7074,1,17,38,5851,205,208,3,3,69,1490,6382,1
4690,5118,2927,1,11,154,3708,34,45,0,0,251,3157,7904,1
6383,758,293,1,45,37,5791,69,71,0,0,131,5518,9510,0
3033,2079,7599,1,28,37,4180,68,68,2,2,24,3949,9704,2
2839,2322,2521,0,14,154,3600,205,208,3,3,100,3179,7713,1
3239,4323,5129,1,67,84,2749,205,208,3,3,299,2255,5731,1
1089,4708,1628,0,83,37,1896,205,208,3,3,102,2138,2427,0
2492,892,961,0,68,191,5588,12,24,2,2,105,5196,7689,0
5661,3205,2255,0,18,149,76,205,208,3,3,183,2566,1321,2
8473,2136,4573,0,41,149,2287,205,208,3,3,232,2157,3347,2
3601,2429,2525,1,37,61,1730,205,208,3,3,128,1663,1413,0
3391,2560,3275,0,41,148,3586,68,68,2,2,62,4498,8440,2
778,1793,2909,1,13,15,4326,205,208,3,3,172,5441,4583,1
1369,617,6766,1,33,84,1865,34,45,0,0,56,400,3204,2
650,2660,7640,0,27,42,5616,66,130,4,4,65,5263,2277,2
5144,2746,3804,1,22,84,3324,143,135,0,0,242,3306,669,2
2027,1129,5735,0,55,202,4477,70,207,2,2,68,3552,6397,2
8209,1356,8625,0,1,84,6012,205,208,3,3,22,973,1031,2
4731,3265,8592,0,42,157,4218,141,129,3,3,307,3919,1825,1
5431,3963,6589,0,15,37,1278,205,208,3,3,64,1046,2513,1
1722,4591,2753,1,13,149,2702,132,132,1,1,308,2530,4350,1
9990,4671,3179,1,86,70,3326,7,7,5,5,124,3318,2416,0
7270,1942,2451,0,25,84,1454,96,92,1,1,301,3489,5696,1
6057,827,6683,0,22,25,3353,10,9,4,4,173,3431,247,1
9345,2118,8994,0,51,149,6079,42,39,1,1,224,2074,3102,0
1091,2332,7230,1,82,163,2825,69,71,0,0,223,2641,6289,0
9593,1420,906,1,21,147,1101,26,26,5,5,160,167,248,2
8857,2924,1877,1,36,47,3136,42,39,1,1,358,2816,5109,1
4532,3699,8923,1,22,45,2187,10,9,4,4,34,2017,9238,2
2464,1079,7554,0,45,181,1764,41,34,0,0,84,1609,255,0
1136,2274,8886,1,64,175,4730,141,129,3,3,103,903,3389,1
431,2781,8636,0,8,25,3187,205,208,3,3,1,2996,3951,0
868,102,1502,0,30,37,5918,205,208,3,3,226,371,6409,0
7302,5206,4549,0,65,154,780,157,153,4,4,200,730,3889,1
7735,5080,1396,0,88,37,260,43,42,5,5,298,232,767,2
1738,73,839,0,33,150,2214,205,208,3,3,331,2019,2949,1
6024,2188,8585,1,55,201,1887,141,129,3,3,212,1073,2184,0
235,4750,5152,0,62,37,1131,205,208,3,3,93,1095,6303,2
3381,3749,5952,0,11,37,3593,24,22,5,5,50,3196,8914,2
6086,792,7805,1,20,37,1675,70,207,2,2,121,1516,6241,2
763,633,1228,1,78,60,1852,182,181,0,0,86,1862,9952,2
7219,2690,1246,0,41,154,65,205,208,3,3,129,115,7485,2
5700,1153,3272,1,67,92,2477,7,7,5,5,205,2399,1604,2
2700,248,5314,0,18,23,5138,10,9,4,4,250,4660,9522,1
1600,3678,3517,0,50,119,1038,192,194,1,1,180,968,9017,1
1375,5457,8624,0,24,148,616,10,9,4,4,75,527,6603,2
7545,2318,8726,0,16,7,4163,32,35,3,3,172,5882,7114,0
1403,3786,19,1,3,15,1845,42,39,1,1,235,2643,8126,0
8431,1884,499,1,72,112,719,7,7,5,5,83,1450,2438,0
5744,2240,5240,1,71,84,4022,29,25,0,0,159,3810,7862,0
4294,868,5960,1,74,148,336,205,208,3,3,290,1836,4220,0
7152,5034,4804,0,51,37,4727,205,208,3,3,284,637,6164,2
4239,2275,3165,1,19,37,4932,32,35,3,3,331,5926,8042,0
9253,5394,4673,1,56,84,2757,203,205,2,2,44,2514,8954,1
5107,3860,1673,0,32,37,3478,205,208,3,3,178,2537,4212,1
5719,266,7169,0,39,79,2807,1,0,1,1,274,5278,6534,2
6669,3409,8932,0,76,102,5176,32,35,3,3,67,5923,5580,2
4195,236,268,0,78,0,1539,58,58,1,1,270,1,3530,2
9454,3137,6281,0,58,92,1781,92,93,1,1,54,484,2910,0
176,4876,8853,1,49,181,3918,92,93,1,1,175,2314,7020,2
8103,2607,5807,1,77,79,2332,10,9,4,4,169,2158,2867,1
6172,1626,7837,0,36,154,1507,32,35,3,3,250,6030,6445,0
5193,2956,4312,1,35,137,1461,32,35,3,3,74,5743,9950,0
5888,4311,4078,0,52,110,2139,104,101,1,1,197,2083,1851,2
5644,264,4908,1,52,150,4726,198,200,1,1,33,4857,1394,0
2259,4639,7923,1,63,32,4174,10,9,4,4,106,3923,6168,1
5525,3530,5753,1,87,150,4516,205,208,3,3,176,4320,7584,0
5805,302,1650,0,33,137,5290,201,191,1,1,198,5122,6528,0
7240,1278,1337,1,10,37,5994,42,39,1,1,198,5862,9021,2
2026,3649,6734,1,11,125,2149,70,207,2,2,280,822,9010,0
2500,3384,1497,1,89,84,5731,176,188,2,2,346,5387,5796,0
6484,4321,7126,1,47,140,4522,0,206,1,1,132,4347,6020,2
6015,1953,7721,1,26,79,4885,92,93,1,1,166,6074,6104,0
2802,2840,2077,0,76,149,767,132,132,1,1,74,5234,1144,0
7491,4918,8391,0,37,150,4948,205,208,3,3,214,4560,9869,0
6868,1296,6498,1,35,37,3304,39,46,4,4,82,3197,8825,0
9053,4235,5101,0,64,94,3191,42,39,1,1,67,3076,5578,0
7262,887,7009,1,8,191,5394,218,182,0,0,287,4905,6799,1
7440,2514,181,0,28,37,1310,158,156,1,1,322,4869,1219,2
7311,4349,7172,0,67,61,2276,63,67,2,2,302,2128,8384,2
7127,4643,2164,0,24,175,4584,205,208,3,3,227,4335,7874,0
4164,4489,763,0,60,84,1329,131,136,1,1,87,5172,4539,1
9881,5184,5319,0,36,148,812,205,208,3,3,64,1023,9877,2
4946,302,2023,0,85,37,5204,142,120,1,1,260,4948,464,1
6909,5581,4166,1,64,149,3643,69,71,0,0,167,3219,4148,1
8343,4971,9047,0,86,110,4678,104,101,1,1,295,4513,4301,2
6757,704,862,1,62,84,2907,32,35,3,3,72,6039,4,2
4725,913,952,0,17,25,4673,32,35,3,3,171,5941,7722,0
2347,1539,5663,0,20,149,6063,203,205,2,2,82,3868,9702,1
5349,2363,2912,0,35,203,531,205,208,3,3,53,698,8033,0
7640,1761,1882,1,55,25,5770,100,91,2,2,234,5438,5959,2
2024,3149,7735,1,90,175,659,26,26,5,5,42,738,4030,2
6767,3050,8354,0,24,53,2285,109,43,0,0,62,5959,7612,2
8968,3243,7984,1,56,147,4385,42,39,1,1,160,4845,2344,2
9030,290,2351,1,55,149,135,205,208,3,3,88,529,9367,0
5090,4486,5890,1,56,168,1079,42,39,1,1,60,908,8838,2
4519,779,6872,0,34,37,2685,203,205,2,2,228,2520,5925,0
5104,876,1631,1,66,191,1321,10,9,4,4,19,1294,8061,0
1105,2967,4436,0,51,60,1256,205,208,3,3,91,793,7833,1
3336,5698,5139,1,25,84,3833,205,208,3,3,306,5065,7198,2
4835,1011,7083,1,75,168,5058,111,106,1,1,49,1301,5540,2
2779,5480,3109,0,73,84,2573,157,153,4,4,203,2501,7807,0
8559,3926,3907,0,65,139,3253,201,191,1,1,182,3473,865,1
453,1131,4309,0,76,168,274,10,9,4,4,88,231,7797,1
6027,2357,5291,1,62,70,3964,10,9,4,4,17,3762,3437,0
587,4112,5706,1,6,154,821,26,26,5,5,274,4196,9839,0
5270,3594,7625,0,6,154,4703,205,208,3,3,53,4624,7702,0
6056,1280,5840,0,27,70,3403,39,46,4,4,166,3390,7012,0
9106,3967,1870,1,13,25,2668,10,9,4,4,40,2656,1609,2
2929,5095,2705,1,27,94,1291,112,107,1,1,83,4870,644,0
6409,4654,853,1,46,7,4728,192,194,1,1,61,5308,9097,0
2182,2389,226,1,82,37,1683,26,26,5,5,317,0,1564,0
9156,3787,7763,0,55,38,1678,92,93,1,1,216,528,6919,1
4269,3872,4663,0,71,37,532,86,86,5,5,139,374,3990,1
4497,4789,3516,0,22,149,1766,158,156,1,1,325,1329,9349,0
5428,1106,5178,0,19,45,1685,26,26,5,5,324,0,103,1
1033,2182,7097,1,42,148,4858,119,113,0,0,102,4615,4867,1
2423,2355,5470,1,26,37,1776,45,49,3,3,149,2039,3653,1
902,2155,850,1,84,70,4214,32,35,3,3,202,5887,2063,0
1215,4840,8392,0,22,32,1387,10,9,4,4,19,1340,5595,1
2545,3484,3534,0,49,94,62,104,101,1,1,23,91,8859,2
